 31 1997-04-11T04:44        RC Wind      -0.28      -6.69      -1.51      10.24     434.45  130368.93      23.17       2.87       2.65       1.92      16.64      18.50     463.19   70736.14      13.35       0.69
 31 1997-04-11T04:44      Wind Wind      -0.24      -6.82      -1.44      10.00     430.74  129355.79      23.15       2.89       2.50       1.87      16.23      18.43     463.20   71071.80      13.62       0.70
 31 1997-04-11T04:44 LLAMAICEA Wind       3.91      -2.13      10.41      15.86     463.66  100154.13      19.33       1.64       5.27      -0.17      19.58      20.78     462.62   20558.13      12.06       0.18
 31 1997-04-11T04:44 LLAMAICEB Wind       3.91      -2.13      10.41      15.86     463.66  100154.13      19.33       1.64       1.70       2.40      16.48      18.35     461.56   61926.08      13.16       0.75
 31 1997-04-11T04:44 LLAMAICEC Wind      -1.34      -5.16      -1.21      10.25     450.86   76860.84      28.16       3.80       5.73      -0.20      19.00      20.38     464.71   44090.38      12.62       0.25
 31 1997-04-11T04:44 LLAMAICED Wind      -1.34      -5.16      -1.21      10.25     450.86   76860.84      28.16       3.80       2.65       1.92      16.64      18.50     463.19   70736.14      13.35       0.69
 32 1997-04-21T10:11    DREAMS Wind       None       None       None       None       None       None       None       None       4.73      -4.29       0.90      11.08     363.10   51492.70      13.23       0.94
 32 1997-04-21T10:11      Jian Wind       None       None       None       None       None       None       None       None       5.81      -5.35       0.12      11.45     362.74   50882.10      12.71       0.83
 32 1997-04-21T10:11   Lepping Wind       None       None       None       None       None       None       None       None       6.06      -5.31       0.99      11.41     360.34   52440.34      12.76       0.82
 32 1997-04-21T10:11        RC Wind       0.93      -0.95      -1.08       4.79     377.23   39321.60      14.28       5.02       5.51      -5.21       0.03      11.10     364.23   50182.14      13.41       1.78
 32 1997-04-21T10:11      Wind Wind      -0.33      -2.19      -1.32       3.81     394.23   34741.61      29.11      23.20       5.36      -4.78       0.67      11.26     362.13   51542.32      13.22       0.93
 32 1997-04-21T10:11 LLAMAICEA Wind      -3.57       0.56      -5.00       8.17     392.74   31053.24      20.50       8.45       7.08      -6.56       0.43      11.74     361.66   53646.43      11.96       0.70
